"second_name","first_name","title","phone","fax","postal","address_type","party","state","electorate","address1","suburb","state","pcode","fax","phone","tollfree","postal","address_type","job"
"Abbott","Tony","Mr","(02) 6277 4022","(02) 6277 8562",0,3,"LP","NSW","Warringah","PO Box 450","Manly","NSW",2095,"(02) 9977 8715","(02) 9977 6411",,1,1,"Leader of the Opposition"
"Adams","Dick","Mr","(02) 6277 4293","(02) 6277 8459",0,3,"ALP","Tas","Lyons","PO Box 50","Perth","Tas",7300,"(03) 6398 1120","(03) 6398 1115","1300 132 689",1,1,
"Albanese","Anthony","Mr","(02) 6277 7680","(02) 6273 4126",0,3,"ALP","NSW","Grayndler","334A Marrickville Road","Marrickville","NSW",2204,"(02) 9564 1734","(02) 9564 3588",,1,1,"Leader of the House, Minister for Infrastructure and Transport"
"Alexander","John","Mr","(02) 6277 4804","(02) 6277 8581",0,3,"LP","NSW","Bennelong","PO Box 872","Epping","NSW",2121,"(02) 9869 4833","(02) 9869 4288",,1,1,
"Andrews","Karen","Mrs","(02) 6277 4360","(02) 6277 8462",0,3,"LP","Qld","McPherson","PO Box 409","Varsity Lakes","Qld",4227,"(07) 5580 9700","(07) 5580 9111",,1,1,
"Andrews","Kevin","Mr","(02) 6277 4585","(02) 6277 8566",0,3,"LP","Vic","Menzies","PO Box 124","Doncaster","Vic",3108,"(03) 9848 2741","(03) 9848 9900",,1,1,
"Baldwin","Bob","Mr","(02) 6277 4200","(02) 6277 8447",0,3,"LP","NSW","Paterson","PO Box 156","Raymond Terrace","NSW",2324,"(02) 4987 5444","(02) 4983 1330",,1,1,
"Bandt","Adam","Mr","(02) 6277 4775","(02) 6277 8583",0,3,"AG","Vic","Melbourne","280 King St","Melbourne","Vic",3000,"(03) 9642 0599","(03) 9642 0922",,1,1,
"Billson","Bruce","Mr","(02) 6277 4257","(02) 6277 8516",0,3,"LP","Vic","Dunkley","PO Box 501","Frankston","Vic",3199,"(03) 9783 7912","(03) 9781 2333",,1,1,
"Bird","Sharon","Ms","(02) 6277 4717","(02) 6277 8422",0,3,"ALP","NSW","Cunningham","PO Box 387,","Wollongong","NSW",2520,"(02) 4228 5077","(02) 4228 5899",,1,1,
"Bishop","Bronwyn","Mrs","(02) 6277 4382","(02) 6277 8424",0,3,"LP","NSW","Mackellar","Shop 1, 1238-1246 Pittwater Road","Narrabeen","NSW",2101,"(02) 9913 9577","(02) 9913 9566",,1,1,
"Bishop","Julie","Ms","(02) 6277 2102","(02) 6277 8497",0,3,"LP","WA","Curtin","PO Box 2010,","Subiaco","WA",6904,"(08) 9388 0299","(08) 9388 0288",,1,1,"Deputy Leader of the Opposition"
"Bowen","Chris","Mr","(02) 6277 7860","(02) 6273 4144",0,3,"ALP","NSW","McMahon","PO Box W210","Fairfield","NSW",2165,"(02) 9609 3873","(02) 9604 0710",,1,1,"Minister for Immigration and Citizenship, Deputy Leader of the House"
"Bradbury","David","Mr","(02) 6277 4199","(02) 6277 8465",0,3,"ALP","NSW","Lindsay","PO Box 712","Penrith","NSW",2750,"(02) 4732 1812","(02) 4732 1801",,1,1,"Parliamentary Secretary to the Treasurer"
"Briggs","Jamie","Mr","(02) 6277 4120","(02) 6277 8414",0,3,"LP","SA","Mayo","PO Box 1601","Mount Barker","SA",5251,"(08) 8398 5577","(08) 8398 5566",,1,1,
"Broadbent","Russell","Mr","(02) 6277 4233","(02) 6277 8485",0,3,"LP","Vic","McMillan","46C Albert Street","Warragul","Vic",3820,"(03) 5623 2509","(03) 5623 2064",,1,1,
"Brodtmann","Gai","Ms","(02) 6277 4811","(02) 6277 8585",0,3,"ALP","ACT","Canberra","205 Anketell St","Tuggeranong","ACT",2900,"(02) 6293 1068","(02) 6293 1344",,1,1,
"Buchholz","Scott","Mr","(02) 6277 4449","(02) 6277 8408",0,3,"LP","Qld","Wright","PO Box 628","Beaudesert","Qld",4285,"(07) 5541 4150","(07) 5541 0150",,1,1,
