"Id","Title","First Name","Second Name","Job","Email","Alternative Email","Electorate","Party","Portfolios","Url","Twitter","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax"
,"Mr","Richard","Amery","Opposition Whip","mountdruitt@parliament.nsw.gov.au",,"Mount Druitt","Australian Labor Party",,,,1,0,"Suite 208, Westfield Shoppingtow","Carlisle Avenue","Mount Druitt","NSW",2770,"(02) 9625 6770",,"(02) 9625 9965",,,,,,,,,,,,,,,,,,,,
,"Mr","Kevin","Anderson",,"tamworth@parliament.nsw.gov.au",,"Tamworth","The Nationals",,,,1,0,"Ground Floor","13 Fitzroy Street","Tamworth","NSW",2340,"(02) 6766 1422",,"(02) 6766 6765",,,,,,,,,,,,,,,,,,,,
,"Mr","Graham","Annesley","Minister for Sport and Recreation","miranda@parliament.nsw.gov.au","office@annesley.minister.nsw.gov.au","Miranda","Liberal Party",,,,1,0,"577 Kingsway",,"Miranda","NSW",2228,"(02) 9525 6378",,"(02) 9540 2517",3,0,"Level 33 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5259",,"(02) 9228 5727",,,,,,,,,,
,"Mr","Greg","Aplin",,"albury@parliament.nsw.gov.au",,"Albury","Liberal Party",,,,1,0,"612 Dean Street",,"Albury","NSW",2640,"(02) 6021 3042",,"(02) 6021 8884",,,,,,,,,,,,,,,,,,,,
,"Mr","Stuart","Ayres","Deputy Government Whip","penrith@parliament.nsw.gov.au",,"Penrith","Liberal Party",,,,1,0,"Shop 23 Ground Floor, Penrith Centre","510-534 High Street","Pentith","NSW",2750,"(02) 4722 8660",,"(02) 4731 4782",,,,,,,,,,,,,,,,,,,,
,"Mr","Mike","Baird","Treasurer","manly@parliament.nsw.gov.au","office@treasurer.nsw.gov.au","Manly","Liberal Party",,,,1,0,"Shop 2","2 Wentworth Street","Manly","NSW",2095,"(02) 9976 2773",,"(02) 9976 2993",3,0,"Level 36 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5274",,"(02) 9228 3942",,,,,,,,,,
,"Mr","John","Barilaro","Acting Speaker","monaro@parliament.nsw.gov.au",,"Monaro","The Nationals",,,,1,0,"110-112 Monaro Street",,"Queanbeyan","NSW",2620,"(02) 6299 4899",,"(02) 6297 9998",,,,,,,,,,,,,,,,,,,,
,"Mr","Clayton","Barr",,"cessnock@parliament.nsw.gov.au",,"Cessnock","Australian Labor Party",,,,1,0,"118 Vincent Street",,"Cessnock","NSW",2325,"(02) 4991 1466",,"(02) 4991 1103",1,1,"PO Box 242",,"Cessnock","NSW",2325,,,,,,,,,,,,,
,"Mr","Bart","Bassett",,"londonderry@parliament.nsw.gov.au",,"Londonderry","Liberal Party",,,,1,0,"Shop 12","82 Victoria Street","Werrington","NSW",2747,"(02) 9833 1122",,"(02) 9623 1185",,,,,,,,,,,,,,,,,,,,
,"Mr","Craig","Baumann","Parliamentary Secretary","portstephens@parliament.nsw.gov.au",,"Port Stephens","Liberal Party",,,,1,0,"1/82 Port Stephens Street",,"Raymond Terrace","NSW",2324,"(02) 4987 4455",,"(02) 4987 4466",,,,,,,,,,,,,,,,,,,,
,"Ms","Gladys","Berejiklian","Minister for Transport","willoughby@parliament.nsw.gov.au","office@berejiklian.minister.nsw.gov.au","Willoughby","Liberal Party",,,,1,0,"280 Willoughby Road",,"Naremburn","NSW",2065,"(02) 9439 4199",,"(02) 9439 9299",3,0,"Level 35 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5266",,"(02) 9228 3744",,,,,,,,,,
,"Mr","Stephen","Bromhead",,"myalllakes@parliament.nsw.gov.au",,"Myall Lakes","The Nationals",,,,1,0,"Room F6 Bridgepoint Building","Lot 1-5 Manning Street","Tuncurry","NSW",2428,"(02) 6555 4099",,"(02) 6555 4780",,,,,,,,,,,,,,,,,,,,
,"Mr","Glenn","Brookes",,"easthills@parliament.nsw.gov.au",,"East Hills","Liberal Party",,,,1,0,"20 Revesby Place",,"Revesby","NSW",2212,"(02) 9772 2774",,"(02) 9792 1718",,,,,,,,,,,,,,,,,,,,
,"Ms","Linda","Burney",,"linda.burney@parliament.nsw.gov.au",,"Canterbury","Australian Labor Party",,,,1,0,"Suites 201 & 202 Level 2","308-312 Beamish Street","Campsie","NSW",2194,"(02) 9718 1234",,"(02) 9787 1999",,,,,,,,,,,,,,,,,,,,
,"Ms","Cherie","Burton",,"kogarah@parliament.nsw.gov.au",,"Kogarah","Australian Labor Party",,,,1,0,"Suite 1 Ground Floor","22-24 Regent Street","Kogarah","NSW",2217,"(02) 9587 9684",,"(02) 9588 7138",,,,,,,,,,,,,,,,,,,,
,"Mr","Charles","Casuscelli",,"strathfield@parliament.nsw.gov.au",,"Strathfield","Liberal Party",,,,1,0,"Shop 1","54 Burwood Road","Burwood","NSW",2134,"(02) 9747 1711",,"(02) 9747 6054",,,,,,,,,,,,,,,,,,,,
,"Mr","Kevin","Conolly",,"riverstone@parliament.nsw.gov.au",,"Riverstone","Liberal Party",,,,1,0,"Shop 20 Stanhope Village","2 Sentry Drive","Stanhope gardens","NSW",2768,"(02) 8883 3499",,"(02) 8883 3355",,,,,,,,,,,,,,,,,,,,
,"Mr","Andrew","Constance","Minister for Ageing; and Minister for Disability Services","bega@parliament.nsw.gov.au","office@constance.minister.nsw.gov.au","Bega","Liberal Party",,,,1,0,"122 Carp Street",,"Bega","NSW",2550,"(02) 6492 2056",,"(02) 6492 3578",3,0,"Level 34 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5263",,"(02) 9228 5500",,,,,,,,,,
,"Mr","Andrew","Cornwell",,"charlestown@parliament.nsw.gov.au",,"Charlestown","Liberal Party",,,,1,0,"Suite 4 Level 2 The Forum Complex","240 - 244 Pacific Highway","Charlestown","NSW",2290,"(02) 4942 1242",,"(02) 4942 1060",,,,,,,,,,,,,,,,,,,,
