"Id","Title","First Name","Second Name","Job","Email","Alternative Email","Electorate","Party","Portfolios","Url","Twitter","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax",,,,,,,,,
,"Mr","John","Ajaka",,"john.ajaka@parliament.nsw.gov.au",,"New South Wales","Liberal Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parliamentary Secretary"
,"Ms","John","Barham",,"jan.barham@parliament.nsw.gov.au",,"New South Wales","The Greens",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2603",,"(02) 9230 2766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","Niall","Blair",,"niall.blair@parliament.nsw.gov.au",,"New South Wales","The Nationals",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2467",,"(02) 9230 2997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","Robert","Borsak",,"robert.borsak@parliament.nsw.gov.au",,"New South Wales","Shooters and Fishers Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2850",,"(02) 9230 2613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","Robert","Brown",,"robert.brown@parliament.nsw.gov.au",,"New South Wales","Shooters and Fishers Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 3059",,"(02) 9230 2613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","Jeremy","Buckingham",,"jeremy.buckingham@parliament.nsw.gov.au",,"New South Wales","The Greens",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2202",,"(02) 9230 3341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","David","Clarke",,"david.clarke@parliament.nsw.gov.au",,"New South Wales","Liberal Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2260",,"(02) 9230 3501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parliamentary Secretary"
,"Mr","Richard","Colless",,"rick.colless@parliament.nsw.gov.au",,"New South Wales","The Nationals",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2344",,"(02) 9230 3579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deputy Government Whip in the Legislative Council"
,"Ms","Sophie","Cotsis",,"sophie.cotsis@parliament.nsw.gov.au",,"New South Wales","Australian Labor Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2080",,"(02) 9230 3056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ms","Catherine","Cusack",,"catherine.cusack@parliament.nsw.gov.au",,"New South Wales","Liberal Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2915",,"(02) 9230 2385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mr","Gregory","Donnelly",,"greg.donnelly@parliament.nsw.gov.au",,"New South Wales","Australian Labor Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2280",,"(02) 9230 2585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ms","Cate","Faehrmann",,"cate.faehrmann@parliament.nsw.gov.au",,"New South Wales","The Greens",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2320",,"(02) 9230 2420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary Chair of Committees"
,"Mr","Amanda","Fazio",,"amanda.fazio@parliament.nsw.gov.au",,"New South Wales","Australian Labor Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 3593",,"(02) 9230 3591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Opposition Whip in the Legislative Council"
,"Ms","Marie","Ficarra",,"marie.ficarra@parliament.nsw.gov.au",,"New South Wales","Liberal Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2894",,"(02) 9230 2466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parliamentary Secretary"
,"Mr","Luke","Foley",,"Luke.Foley@parliament.nsw.gov.au",,"New South Wales","Australian Labor Party",,,,3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2927",,"(02) 9230 3349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leader of the Opposition in the Legislative Council"
