"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Ms";"Jane";"Aagaard";"Speaker";"electorate.nightcliff@nt.gov.au";;"Nightcliff";"ALP";;;;1;0;"Shop 5, Pavonia Way";"Nightcliff Shoppingtown";"Nightcliff";"NT";"0810";"(08) 8985 2533";;"(08) 8985 4545";1;1;"PO Box 866";;"Nightcliff";"NT";"0814";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1433";;"(08) 8981 3284";3;1;"Box 3721";;"Darwin";"NT";"0801"
;"Ms";"Alison";"Anderson";;"electorate.macdonnell@nt.gov.au";;"Macdonnell";"CLP";;;;1;0;"Shop G2, Ground Floor, Centre Point";"Gregory Terrace";"Alice Springs";"NT";"0870";"(08) 8952 9611";;"(08) 8953 0211";1;1;"
PO Box 8325";;"Alice Springs";"NT";"0871";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1405";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Ross";"Bohlin";"Deputy Chairman of Committees
Shadow Portfolios:
Defence Support
Arts and Museums
Information, Communications and Technology Policy
Sport and Recreation";"electorate.drysdale@nt.gov.au";;"Drysdale";"CLP";;;;1;0;"Shop A3, Palm Plaza";"17 University Avenue";"Palmerston";"NT";"0830";"(08) 8931 3255";;;1;1;"PO Box 3126";;"Palmerston";"NT";"0831";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1487";;"(08) 8931 3266";3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Dr";"Chris";"Burns";"Leader of Government Business
Minister for Education and Training
Minister for Public and Affordable Housing
Minister for Public Employment";"electorate.johnston@nt.gov.au";;"Johnston";"ALP";;;;1;0;"Shop 3, Rapid Creek Shopping Village";"48 Trower Road";"Millner";"NT";"0810";"(08) 8948 0577";;"(08) 8948 0525";1;1;"PO Box 41389";;"Casuarina";"NT";"0811";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4162";;"(08) 8901 4165";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Mr";"Peter";"Chandler";"Deputy Chairman of Committees
Shadow Portfolios: 
Education and Training
Natural Resources, Environment and Heritage
Parks and Wildlife";"electorate.brennan@nt.gov.au";;"Brennan";"CLP";;;;1;0;"Shop 2, Palmerston Shopping Centre";;"Palmerston";"NT";"0830";"(08) 8932 7477";;"(08) 8932 7488";1;1;"PO Box 3668";;"Palmerston";"NT";"0831";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1468";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Matt";"Conlan";"Shadow Portfolios: 
Health
Central Australia
Public Employment";"electorate.greatorex@nt.gov.au";;"Greatorex";"CLP";;;;1;0;"Suite 39A, Yeperenye Shopping Centre";"Hartley Street";"Alice Springs";"NT";"0870";"(08) 8952 3666";;"(08) 8952 6735";1;1;"PO Box 8599";;"Alice Springs";"NT";"0871";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1592";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"John";"Elferink";"Manager of Opposition Business
Opposition Whip
Shadow Portfolios:
Treasurer
Justice and Attorney-General ";"electorate.portdarwin@nt.gov.au";;"Port Darwin";"CLP";;;;1;0;"133 Mitchell Street";;"Darwin";"NT";"0800";"(08) 8981 4644";;"(08) 8981 1621";1;1;"GPO Box 1404";;"Darwin";"NT";"0801";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1445";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Adam";"Giles";"Shadow Portfolios:
Indigenous Policy
Transport and Construction
Regional Development";"electorate.braitling@nt.gov.au";;"Braitling";"CLP";;;;1;0;"Ground Floor, Anangu House";"cnr Gregory and Bath Street";"Alice Springs";"NT";"0870";"(08) 8952 4177";;"(08) 8952 5373";1;1;"PO Box 1770";;"Alice Springs";"NT";"0871";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1467";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Michael";"Gunner";"Government Whip
Deputy Chairman of Committees
Parliamentary Secretary for Business and Employment";"michael.gunner@nt.gov.au ";"electorate.fanniebay@nt.gov.au";"Fannie Bay";"ALP";;;;1;0;"Shop 5/36, Parap Place";"Parap Shopping Village";"Parap";"NT";"0820";"(08) 8981 4016";;"(08) 8941 2661";1;1;"PO. Box 11";;"Parap";"NT";"804";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1436";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Karl";"Hampton";"Minister for Natural Resources, Environment and Heritage
Minister for Parks and Wildlife
Minister for Climate Change
Minister for Sport and Recreation
Minister for  Information, Communications and Technology Policy
Minister for Central Australia";"electorate.stuart@nt.gov.au";;"Stuart";"ALP";;;;1;0;"Lot 93, Tenancy 2";"51 Todd Mall";"Alice Springs";"NT";"0870";"(08) 8952 7666";;"(08) 8952 8004";1;1;"PO Box 62";;"Alice Springs";"NT";"0871";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4053";;"(08) 8901 4060";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
