""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"","State",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"Abbott","Anthony","John","Tony","A. J.","The Hon","Mr","MP","MALE","(02) 6277 4022","(02) 6277 8562","LP","NSW","Warringah","PO Box 450","Manly","NSW","2095","(02) 9977 8715","(02) 9977 6411","","Leader of the Opposition"
"Adams","Dick","Godfrey Harry","","D. G. H.","The Hon","Mr","MP","MALE","(02) 6277 4293","(02) 6277 8459","ALP","Tas","Lyons","PO Box 50","Perth","Tas","7300","(03) 6398 1120","(03) 6398 1115","1300 132 689",""
"Albanese","Anthony","Norman","","A. N.","The Hon","Mr","MP","MALE","(02) 6277 7680","(02) 6273 4126","ALP","NSW","Grayndler","334A Marrickville Road","Marrickville","NSW","2204","(02) 9564 1734","(02) 9564 3588","","Leader of the House, Minister for Infrastructure and Transport"
"Alexander","John","Gilbert","John","J. G.","Mr","Mr","OAM, MP","MALE","(02) 6277 4804","(02) 6277 8581","LP","NSW","Bennelong","PO Box 872","Epping","NSW","2121","(02) 9869 4833","(02) 9869 4288","",""
"Andrews","Karen","Lesley","Karen","K. L.","Mrs","Mrs","MP","FEMALE","(02) 6277 4360","(02) 6277 8462","LP","Qld","McPherson","PO Box 409","Varsity Lakes","Qld","4227","(07) 5580 9700","(07) 5580 9111","",""
"Andrews","Kevin","James","","K. J.","The Hon","Mr","MP","MALE","(02) 6277 4585","(02) 6277 8566","LP","Vic","Menzies","PO Box 124","Doncaster","Vic","3108","(03) 9848 2741","(03) 9848 9900","",""
"Baldwin","Robert","Charles","Bob","R. C.","The Hon","Mr","MP","MALE","(02) 6277 4200","(02) 6277 8447","LP","NSW","Paterson","PO Box 156","Raymond Terrace","NSW","2324","(02) 4987 5444","(02) 4983 1330","",""
"Bandt","Adam","Paul","","A. P.","Mr","Mr","MP","MALE","(02) 6277 4775","(02) 6277 8583","AG","Vic","Melbourne","280 King St","Melbourne","Vic","3000","(03) 9642 0599","(03) 9642 0922","",""
"Billson","Bruce","Fredrick","","B. F.","The Hon","Mr","MP","MALE","(02) 6277 4257","(02) 6277 8516","LP","Vic","Dunkley","PO Box 501","Frankston","Vic","3199","(03) 9783 7912","(03) 9781 2333","",""
"Bird","Sharon","Leah","","S. L.","Ms","Ms","MP","FEMALE","(02) 6277 4717","(02) 6277 8422","ALP","NSW","Cunningham","PO Box 387,","Wollongong","NSW","2520","(02) 4228 5077","(02) 4228 5899","",""
"Bishop","Bronwyn","Kathleen","","B. K.","The Hon","Mrs","MP","FEMALE","(02) 6277 4382","(02) 6277 8424","LP","NSW","Mackellar","Shop 1, 1238-1246 Pittwater Road","Narrabeen","NSW","2101","(02) 9913 9577","(02) 9913 9566","",""
"Bishop","Julie","Isabel","","J. I.","The Hon","Ms","MP","FEMALE","(02) 6277 2102","(02) 6277 8497","LP","WA","Curtin","PO Box 2010,","Subiaco","WA","6904","(08) 9388 0299","(08) 9388 0288","","Deputy Leader of the Opposition"
"Bowen","Chris","Eyles","","C. E.","The Hon","Mr","MP","MALE","(02) 6277 7860","(02) 6273 4144","ALP","NSW","McMahon","PO Box W210","Fairfield","NSW","2165","(02) 9609 3873","(02) 9604 0710","","Minister for Immigration and Citizenship, Deputy Leader of the House"
"Bradbury","David","John","","D. J.","The Hon","Mr","MP","MALE","(02) 6277 4199","(02) 6277 8465","ALP","NSW","Lindsay","PO Box 712","Penrith","NSW","2750","(02) 4732 1812","(02) 4732 1801","","Parliamentary Secretary to the Treasurer"
"Briggs","Jamie","Edward","Jamie","J. E.","Mr","Mr","MP","MALE","(02) 6277 4120","(02) 6277 8414","LP","SA","Mayo","PO Box 1601","Mount Barker","SA","5251","(08) 8398 5577","(08) 8398 5566","",""
"Broadbent","Russell","Evan","","R. E.","Mr","Mr","MP","MALE","(02) 6277 4233","(02) 6277 8485","LP","Vic","McMillan","46C Albert Street","Warragul","Vic","3820","(03) 5623 2509","(03) 5623 2064","",""
"Brodtmann","Gai","Marie","Gai","G.","Ms","Ms","MP","FEMALE","(02) 6277 4811","(02) 6277 8585","ALP","ACT","Canberra","205 Anketell St","Tuggeranong","ACT","2900","(02) 6293 1068","(02) 6293 1344","",""
"Buchholz","Scott","","","S.","Mr","Mr","MP","MALE","(02) 6277 4449","(02) 6277 8408","LP","Qld","Wright","PO Box 628","Beaudesert","Qld","4285","(07) 5541 4150","(07) 5541 0150","",""
"Burke","Anna","Elizabeth","","A. E.","Ms","Ms","MP","FEMALE","(02) 6277 4127","(02) 6277 8528","ALP","Vic","Chisholm","PO Box 3042","Syndal","Vic","3149","(03) 9802 0588","(03) 9802 0566","","Deputy Speaker"
"Burke","Anthony","Stephen","Tony","A. S.","The Hon","Mr","MP","MALE","(02) 6277 7640","(02) 6273 6101","ALP","NSW","Watson","PO Box 156","Roselands","NSW","2196","(02) 9750 9288","(02) 9750 9088","","Minister for Sustainability, Environment, Water, Population and Communities"
"Butler","Mark","Christopher","","M. C.","The Hon","Mr","MP","MALE","(02) 6277 7280","(02) 6273 4138","ALP","SA","Port Adelaide","PO Box 2038","Port Adelaide","SA","5015","(08) 8242 0744","(08) 8242 0733","","Minister for Mental Health and Ageing, Minister for Social Inclusion, Minister Assisting the Prime Minister on Mental Health Reform"
"Byrne","Anthony","Michael","","A. M.","The Hon","Mr","MP","MALE","(02) 6277 4309","(02) 6277 8473","ALP","Vic","Holt","Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic","3805","(03) 9796 7088","(03) 9796 7533","",""
"Champion","Nicholas","David","Nick","N. D.","Mr","Mr","MP","MALE","(02) 6277 4451","(02) 6277 8511","ALP","SA","Wakefield","PO Box 288","Smithfield","SA","5114","(08) 8284 2433","(08) 8284 2422","1300 780 170",""
"Cheeseman","Darren","Leicester","","D. L.","Mr","Mr","MP","MALE","(02) 6277 4702","(02) 6277 8524","ALP","Vic","Corangamite","Shop 3A, 195 Colac Road","Waurn Ponds","Vic","3216","(03) 5241 1863","(03) 5243 2400","1300 661 352",""
