"Id";"Title";"First Name";"Second Name";"Job";"Email";"Electorate";"Party";"Portfolios";"URL";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;;"Jacinta";"Allan";"Manager of Opposition Business; Shadow Minister for Regional and Rural Development; Shadow Minister for Bushfire Response; Shadow Minister for Police and Emergency Services; ";"jacinta.allan@parliament.vic.gov.au";"Bendigo East";"ALP";;"http://www.jacintaallan.com";;;;"35 Wills Street";;"Bendigo";"VIC";3550;"(03) 5443 2144";"(03) 5443 8979";;;;"PO Box 399";" ";"Bendigo";"VIC";3552;;;;;;;;;;;;;;;;;;;;
;;"Daniel";"Andrews";"Leader of the Labor Party; Leader of the Opposition; Shadow Minister for Veterans' Affairs; Shadow Minister for Multicultural Affairs; ";"daniel.andrews@parliament.vic.gov.au";"Mulgrave";"ALP";;"http://www.danielandrews.com.au";;;;"517A Princes Highway";;"Noble Park";"VIC";3174;"(03) 9548 5644";"(03) 9548 5634";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Neil";"Angus";;"neil.angus@parliament.vic.gov.au";"Forest Hill";"LIB";;;;;;"4 Lawrence Street";;"Blackburn South";"VIC";3130;"(03) 9877 5628";"(03) 9894 2121";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Louise";"Asher";"Deputy Leader of the Liberal Party; Minister for Innovation, Services and Small Business; Minister for Tourism and Major Events; ";"louise.asher@parliament.vic.gov.au";"Brighton";"LIB";;;;;;"Ground Floor";"228-230 Bay Street";"Brighton";"VIC";3186;"(03) 9596 9680";"(03) 9596 0956";;;;"Level 36";"121 Exhibition Street";"Melbourne";"VIC";3000;"(03) 9651 9900";;"(03) 9651 9962";;;;;;;;;;;;;;;;;
;;"Ted";"Baillieu";"Premier; Leader of the Liberal Party; Minister for the Arts; ";"ted.baillieu@parliament.vic.gov.au";"Hawthorn";"LIB";;"http://www.premier.vic.gov.au";;;;"325 Camberwell Road";;"Camberwell";"VIC";3124;"(03) 9882 4088";"(03) 9882 4051";;;;"Level 1";"1 Treasury Place";"Melbourne";"VIC";3000;"(03) 9651 5000";;"(03) 9651 5054";;;;;;;;;;;;;;;;;
;"Ms";"Ann";"Barker";;"ann.barker@parliament.vic.gov.au";"Oakleigh";"ALP";;"http://www.annbarker.net/";;;;"19 Station Street";;"Oakleigh";"VIC";3166;"(03) 9568 4625";"(03) 9563 2512";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Brad";"Battin";;"brad.battin@parliament.vic.gov.au";"Gembrook";"LIB";;"http://www.bradbattin.com";;;;"Suite 5";"6-8 Langmore Lane";"Berwick";"VIC";3806;"(03) 9796 1987";"(03) 9796 1891";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mrs";"Donna";"Bauer";;"donna.bauer@parliament.vic.gov.au";"Carrum";"LIB";;;;;;"374 Nepean Highway";;"Chelsea";"VIC";3196;"(03) 9772 4544";"(03) 9776 0138";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Liz";"Beattie";;"elizabeth.beattie@parliament.vic.gov.au";"Yuroke";"ALP";;"http://www.lizbeattie.com.au";;;;"3A Hamilton Street";;"Craigieburn";"VIC";3064;"(03) 9305 7177";"(03) 9305 7362";;;;"PO Box 132";" ";"Craigieburn";"VIC";3064;;;;;;;;;;;;;;;;;;;;
;"Mr";"Gary";"Blackwood";"Parliamentary Secretary for Forestry and Fisheries; ";"gary.blackwood@parliament.vic.gov.au";"Narracan";"LIB";;;;;;"3/24 Mason Street";;"Warragul";"VIC";3820;"(03) 5623 1960";"(03) 5623 4506";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Colin";"Brooks";"Parliamentary Secretary to the Shadow Minister for Education; ";"colin.brooks@parliament.vic.gov.au";"Bundoora";"ALP";;"http://www.colinbrooks.com.au";;;;"595 Grimshaw Street";;"Bundoora";"VIC";3083;"(03) 9467 5657";"(03) 9467 5921";;;;"PO Box 79";" ";"Bundoora";"VIC";3083;;;;;;;;;;;;;;;;;;;;
;"Mr";"Tim";"Bull";;"tim.bull@parliament.vic.gov.au";"Gippsland East";"NAT";;"http://www.timbull.com.au";;;;"143 Main Street";;"Bairnsdale";"VIC";3875;"(03) 5152 3491";"(03) 5152 2023";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Neale";"Burgess";;"neale.burgess@parliament.vic.gov.au";"Hastings";"LIB";;;;;;"6 Eramosa Road East";;"Somerville";"VIC";3912;"(03) 5977 5600";"(03) 5977 7263";;;;"PO Box 909";" ";"Somerville";"VIC";3912;;;;;;;;;;;;;;;;;;;;
;;"Christine";"Campbell";;"christine.campbell@parliament.vic.gov.au";"Pascoe Vale";"ALP";;"http://www.christinecampbell.com.au";;;;"416a Bell Street";;"Pascoe Vale";"VIC";3044;"(03) 9354 9935";"(03) 9354 3599";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
