"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Mr";"Ken";"Baston";"Government Whip";;;"Mining and Pastoral";"LIB";;;;1;1;"PO Box 1452";;"Broome";"WA";6725;;;;1;0;"Unit 8";"20 Hamersley Street";"Broome";"WA";6725;;;;3;0;"Parliament House";;"Perth";"WA";6000;;;;;;;;;;
;"Ms";"Liz";"Behjat";;;;"North Metropolitan";"LIB";;;;1;1;"PO Box 874";;"Innaloo";"WA";6018;;;;1;0;"Suite 1";"43 Cedric Street";"Stirling";"WA";6021;;;;3;0;"Parliament House";;"Perth";"WA";6001;;;;;;;;;;
;"Mr";"Matt";"Benson-Lidholm";"Chairman of Committees";;;"Agricultural";"ALP";;;;1;1;"PO Box 295";;"West perth";"WA";6872;;;;1;0;"Office I";"1139 Hay Street";"West perth";"WA";6005;;;;3;0;"Parliament House";;"Perth";"WA";6002;;;;;;;;;;
;"Ms";"Helen";"Bullock";;;;"Mining and Pastoral";"ALP";;;;1;1;"PO Box 10359";;"Kalgoorlie";"WA";6433;;;;1;0;"Suite 8";"Anderson House";"Kalgoorlie";"WA";6430;;;;3;0;"Parliament House";;"Perth";"WA";6003;;;;;;;;;;
;"Mr";"Robin";"Chapple";;;;"Mining and Pastoral";"GWA";;;;1;1;"PO Box 94";;"West perth";"WA";6872;;;;1;0;"41 Havelock Street";;"West perth";"WA";6005;;;;3;0;"Parliament House";;"Perth";"WA";6004;;;;;;;;;;
;"Mr";"Jim";"Chown";;;;"Agricultural";"LIB";;;;1;0;"5 Harvest Terrace";;"West perth";"WA";6005;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6005;;;;;;;;;;
;"Mr";"Peter";"Collier";"Minister for Energy; Training and Workforce Development; Indigenous Affairs";;;"North Metropolitan";"LIB";;;;1;1;"PO Box 2606";;"Warwick";"WA";6024;;;;1;0;"Shop 23, Centro Warwick";"Cnr Beach Road & Erindale Road";"Warwick";"WA";6024;;;;3;0;"Parliament House";;"Perth";"WA";6006;;;;4;0;"11th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005
;"Ms";"Mia";"Davies";;;;"Agricultural";"NPA";;;;1;0;"Level 1";"8 Parliament Place";"West perth";"WA";6005;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6007;;;;;;;;;;
;"Mr";"Ed";"Dermer";"Opposition Whip";;;"North Metropolitan";"ALP";;;;1;0;"82 Collier Avenue (Cnr Amelia Street)";;"Balcatta";"WA";6021;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6008;;;;;;;;;;
;"Ms";"Kate";"Doust";"Deputy Leader of the Opposition in the Legislative Council";;;"South Metropolitan";"ALP";;;;1;1;"PO Box 577";;"Victoria Park";"WA";6979;;;;1;0;"399 Albany Highway";;"Victoria Park";"WA";6100;;;;3;0;"Parliament House";;"Perth";"WA";6009;;;;;;;;;;
;"Ms";"Wendy";"Duncan";"Parliamentary Secretary to the Minister for Regional Development; Lands; Minister Assisting the Minister for State Development (with respect to Regional Development; Lands only) ";;;"Mining and Pastoral";"NPA";;;;1;1;"PO Box 2470";;"Esperance";"WA";6450;;;;1;0;"Dutton Arcade";"Cnr Andrew and Dempster Streets";"Esperance";"WA";6450;;;;3;0;"Parliament House";;"Perth";"WA";6010;;;;;;;;;;
;"Mr";"Phil";"Edman";;;;"South Metropolitan";"LIB";;;;1;1;"PO Box 7029";;"Safety Bay";"WA";6169;;;;1;0;"Unit 3, 1st Floor";"18 Civic Boulevard";"Rockingham";"WA";6168;;;;3;0;"Parliament House";;"Perth";"WA";6011;;;;;;;;;;
;"Ms";"Sue";"Ellery";"Leader of the Opposition in the Legislative Council";;;"South Metropolitan";"ALP";;;;1;0;"Shop 20, Southlands Boulevard Shopping Centre";"Cnr Burrendah Boulevard and Pine Tree Gully Road";"Willetton";"WA";6155;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6012;;;;;;;;;;
;"Mr";"Brian";"Ellis";;;;"Agricultural";"LIB";;;;1;1;"PO Box 231";;"Geraldton";"WA";6531;;;;1;0;"Unit 1, Druids Hall";"Corner Durlacher and Sanford Streets";"Geraldton";"WA";6531;;;;3;0;"Parliament House";;"Perth";"WA";6013;;;;;;;;;;
;"Ms";"Donna";"Faragher";"Parliamentary Secretary to the Premier; Minister for State Development (with respect to the Premier only)";;;"East Metropolitan";"LIB";;;;1;0;"Ground Floor";"108 Swan Street";"Guildford";"WA";6055;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6014;;;;;;;;;;
;"Ms";"Adele";"Farina";;;;"South West";"ALP";;;;1;1;"PO Box 381";;"Bunbury";"WA";6231;;;;1;0;"Unit 3";"69 Duchess Street";"Busselton";"WA";6280;;;;3;0;"Parliament House";;"Perth";"WA";6015;;;;;;;;;;
;"Mr";"Jon";"Ford";;;;"Mining and Pastoral";"ALP";;;;1;1;"PO Box 1827";;"Karratha";"WA";6753;;;;1;0;"No. 8, Shop 4, Hilditch Shopping Centre";"Hilditch Avenue";"Newman";"WA";6753;;;;3;0;"Parliament House";;"Perth";"WA";6016;;;;;;;;;;
