State,Surname,Title,First Name,Other Names,Preferred Name,Initials,Honorific,Gender,Political Party,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,ElectorateFax,ElectorateTollFree,ElectoratePostAddress,ElectoratePostSuburb,ElectoratePostState,ElectoratePostPostCode,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
ACT,Humphries,Senator,Gary,,Gary,G.,,MALE,LP,"Shop B12, Canberra Centre",Bunda Street,Canberra,ACT,2600,(02) 6247 6444,(02) 6257 4140,,,,,,"Shop B12, Canberra Centre, Bunda Street",Canberra,ACT,2600,
ACT,Lundy,Senator the Hon ,Kate,Alexandra,Kate,K. A.,,FEMALE,ALP,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,(02) 6230 0411,(02) 6230 0413,,,,,,"Unit A, Ground Floor, Law Society Building, 11 London Circuit",Canberra,ACT,2601,"Parliamentary Secretary to the Prime  Minister  & Parliamentary Secretary for Immigration and Multicultural Affairs
 Parliamentary Secretary for Immigration and  Citizenship
"
NSW,Arbib,Senator the Hon,Mark,Victor,Mark,M.V.,,MALE,ALP,"Level 8,  Commonwealth Parliament Offices",70 Phillip Street,Sydney,NSW,2000,(02) 9364 2600,(02) 9251 3767,,GPO Box 36,Sydney,NSW,2001,GPO Box 36,Sydney,NSW,2001,"Assistant Treasurer, Minister for Small Business, Minister for Sport, Manager of Government Business in the Senate"
NSW,Cameron,Senator,Douglas,Niven,Doug,D.N.,,MALE,ALP,"Unit 6, ","5 Raymond Road,",Springwood,NSW,2777,(02) 4751 4288,(02) 4751 3288,1300 226 005,PO Box 322,Springwood,NSW,2777,PO Box 322,Springwood,NSW,2777,
NSW,Faulkner,Senator the Hon,John,Philip,John,J. P.,,MALE,ALP,"Suite1, 1 Park Avenue",,Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078,1300 301 752,,,,,"Suite1, 1 Park Avenue",Drummoyne,NSW,2047,
NSW,Fierravanti-Wells,Senator,Concetta,,Concetta,C.,,FEMALE,LP,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,(02) 4226 1733,1300 735 268,PO Box 886,Wollongong,NSW,2520,PO Box 886,Wollongong,NSW,2520,
NSW,Heffernan,Senator the Hon,William,,Bill,W.,,MALE,LP,"Suite 703, Westfield Towers",100 William Street,Sydney,NSW,2011,(02) 9357 2600,(02) 9357 2800,1300 301 796,,,,,"Suite 703, Westfield Towers, 100 William Street",Sydney,NSW,2011,
NSW,Nash,Senator,Fiona,,Fiona,F.,,FEMALE,Nats,79 Main Street,,Young,NSW,2594,(02) 6382 3400,(02) 6382 3499,,,,,,79 Main Street,Young,NSW,2594,Deputy Leader of The Nationals in the Senate 
NSW,Payne,Senator,Marise,Ann,Marise,M. A.,,FEMALE,LP,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,(02) 9687 8466 ,,PO Box 1420,Parramatta,NSW,2150,PO Box 1420,Parramatta,NSW,2150,
NSW,Rhiannon,Senator,Lee,,Lee,L.,,FEMALE,AG,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9241 6966,(02) 9252 0180,,,,,,72 Campbell Street,Surry Hills,NSW,2010,
NSW,Sinodinos,Senator,Arthur,,Arthur,A.,,MALE,LP,"Angel Place,",123 Pitt Street,Sydney,NSW,2000,(02) 9223 4388,(02) 9223 4399 ,,,,,,"Angel Place, 123 Pitt Street",Sydney,NSW,2000,
NSW,Stephens,Senator the Hon,Ursula,,Ursula,U.,,FEMALE,ALP,91 Bourke Street,,Goulburn,NSW,2580,(02) 4822 8155,(02) 4822 8156,1300 301 987,PO Box 1112,Goulburn,NSW,2580,PO Box 1112,Goulburn,NSW,2580,
NSW,Thistlethwaite,Senator,Matthew,,Matt,M.,,MALE,ALP,"Commonwealth Parliamentary Offices, Suite 4, Level 12,",70 Phillip Street,Sydney,NSW,2000,(02)9241 7730,(02)9247 8387,,,,,,"Commonwealth Parliamentary Offices, Suite 4, Level 12, 70 Phillip Street,",Sydney,NSW,2000,
NSW,Williams,Senator,John,Reginal,John,J.R.,,MALE,Nats,144 Byron Street,,Inverell,NSW,2360,(02) 6721 4500,(02) 6721 4544,1300 301 815,,,,,144 Byron Street,,NSW,2360,The Nationals Whip in the Senate
NT,Crossin,Senator,Patricia,Margaret,Trish,P. M.,,FEMALE,ALP,25 Chung Wah Terrace,,Palmerston,NT,830,(08) 8931 0830,(08)8931 0513,1300 301 713,PO Box 946,Palmerston,NT,831,PO Box 946,Palmerston,NT,831,
NT,Scullion,Senator the Hon,Nigel,Gregory,Nigel,N. G.,,MALE,CLP,"Unit 1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,(08) 8948 3544,,,,,,"Unit 1, 229 McMillans Road",Jingili,NT,810,Deputy Leader of The Nationals
Qld,Boswell,Senator the Hon,Ronald,Leslie Doyle,Ronald,R. L. D.,,MALE,Nats,"Level 36, Waterfront Place",1 Eagle Street,Brisbane,Qld,4000,(07) 3001 8150,(07) 3001 8151, ,GPO Box 228,Brisbane,Qld,4001,GPO Box 228,Brisbane,QLD,4001,
Qld,Boyce,Senator,Suzanne,Kay,Sue,S. K.,,FEMALE,LP,349 Sandgate Road,,Albion,Qld,4010,(07) 3862 4044,(07) 3862 4244,,PO Box 143,Albion DC,Qld,4010,PO Box 143,Albion DC,QLD,4010,
