"electorate","second_name","first_name","party","address1","address2","suburb","state","pcode","postal","address_type","phone","fax","tollfree","address1","suburb","state","pcode","postal","adress_type","job"
"Australian Captial Territory","Humphries","Gary","LP","Shop B12, Canberra Centre","Bunda Street","Canberra","ACT",2600,0,1,"(02) 6247 6444","(02) 6257 4140",,,,,,,,
"Australian Captial Territory","Lundy","Kate","ALP","Unit A, Ground Floor, Law Society Building","11 London Circuit","Canberra","ACT",2601,0,1,"(02) 6230 0411","(02) 6230 0413",,,,,,,,"Parliamentary Secretary to the Prime  Minister  & Parliamentary Secretary for Immigration and Multicultural Affairs
 Parliamentary Secretary for Immigration and  Citizenship
"
"New South Wales","Arbib","Mark","ALP","Level 8,  Commonwealth Parliament Offices","70 Phillip Street","Sydney","NSW",2000,0,1,"(02) 9364 2600","(02) 9251 3767",,"GPO Box 36","Sydney","NSW",2001,1,1,"Assistant Treasurer, Minister for Small Business, Minister for Sport, Manager of Government Business in the Senate"
"New South Wales","Cameron","Doug","ALP","Unit 6, ","5 Raymond Road,","Springwood","NSW",2777,0,1,"(02) 4751 4288","(02) 4751 3288","1300 226 005","PO Box 322","Springwood","NSW",2777,1,1,
"New South Wales","Faulkner","John","ALP","Suite1, 1 Park Avenue",,"Drummoyne","NSW",2047,0,1,"(02) 9719 8100","(02) 9719 8078","1300 301 752",,,,,,,
"New South Wales","Fierravanti-Wells","Concetta","LP","Suite 1, Level 2,","6-8 Regent Street,","Wollongong","NSW",2500,0,1,"(02) 4226 1700","(02) 4226 1733","1300 735 268","PO Box 886","Wollongong","NSW",2520,1,1,
"New South Wales","Heffernan","Bill","LP","Suite 703, Westfield Towers","100 William Street","Sydney","NSW",2011,0,1,"(02) 9357 2600","(02) 9357 2800","1300 301 796",,,,,,,
"New South Wales","Nash","Fiona","Nats","79 Main Street",,"Young","NSW",2594,0,1,"(02) 6382 3400","(02) 6382 3499",,,,,,,,"Deputy Leader of The Nationals in the Senate "
"New South Wales","Payne","Marise","LP","2-12 Macquarie Street",,"Parramatta","NSW",2150,0,1,"(02) 9687 8755","(02) 9687 8466 ",,"PO Box 1420","Parramatta","NSW",2150,1,1,
"New South Wales","Rhiannon","Lee","AG","72 Campbell Street",,"Surry Hills","NSW",2010,0,1,"(02) 9241 6966","(02) 9252 0180",,,,,,,,
"New South Wales","Sinodinos","Arthur","LP","Angel Place,","123 Pitt Street","Sydney","NSW",2000,0,1,"(02) 9223 4388","(02) 9223 4399 ",,,,,,,,
"New South Wales","Stephens","Ursula","ALP","91 Bourke Street",,"Goulburn","NSW",2580,0,1,"(02) 4822 8155","(02) 4822 8156","1300 301 987","PO Box 1112","Goulburn","NSW",2580,1,1,
