"title";"first";"last";"electorate";"portfolio";"address 1";"address 2";"address 3";"salutation";"party"
"Mrs";"J M ";"Attwood MP";"Member for Mount Ommaney";"Parliamentary Secretary for Health";"PO Box 67";"MOUNT OMMANEY  QLD  4074";;"Mrs Attwood";"ALP"
"Ms";"R M";"Bates MP";"Member for Mudgeeraba";"Shadow Minister for Government Services, Building Industry, Information and Communication Technology";"PO Box 897";"MUDGEERABA  QLD  4213";" ";"Ms Bates";"LNP"
"Mr";"J";"Bleijie MP";"Member for Kawana";"Shadow Attorney-General";"PO Box 1200";"BUDDINA  QLD  4575";;"Mr Bleijie";"LNP"
"Hon";"A M";"Bligh MP";"Member for South Brisbane";"Premier and Minister for Reconstruction";"PO Box 5822";"WEST END  QLD  4101";;"Premier";"ALP"
"Hon";"D";"Boyle MP";"Member for Cairns";" ";"PO Box 1259";"CAIRNS  QLD  4870";;"Ms Boyle";"ALP"
"Mr";"M W";"Choi MP";"Member for Capalaba";"Parliamentary Secretary for Trade and Multicultural Affairs";"PO Box 50";"CAPALABA  QLD  4157";;"Mr Choi";"ALP"
"Mr";"M J";"Crandon MP";"Member for Coomera";;"PO Box 80";"OXENFORD  QLD  4210";;"Mr Crandon";"LNP"
"Mr";"A P";"Cripps MP";"Member for Hinchinbrook";"Shadow Minister for Agriculture, Food and Regional Queensland";"PO Box 1515";"INGHAM  QLD  4850";" ";"Mr Cripps";"LNP"
"Ms";"P-K";"Croft MP";"Member for Broadwater";"Parliamentary Secretary assisting the Premier on the Gold Coast and the Commonwealth Games";"PO Box 983";"RUNAWAY BAY  QLD  4216";;"Ms Croft";"ALP"
"Mrs";"E A";"Cunningham MP";"Member for Gladstone";;"PO Box 1592";"GLADSTONE  QLD  4680";;"Mrs Cunningham";"IND"
"Hon";"V E";"Darling MP";"Member for Sandgate";"Minister for Environment   ";"PO Box 496";"SANDGATE  QLD  4017";;"Minister";"ALP"
"Ms";"T E";"Davis MP";"Member for Aspley";"Shadow Minister for Child Safety and Shadow Minister for Disabilities and Mental Health";"Shop 2, 1315 Gympie Road";"ASPLEY  QLD  4034";;"Ms Davis";"LNP"
"Mr";"J M ";"Dempsey MP";"Member for Bundaberg";"Shadow Minister for Mining and Shadow Minister for Resource Management";"PO Box 935";"BUNDABERG  QLD  4670";;"Mr Dempsey";"LNP"
"Hon";"C R";"Dick MP";"Member for Greenslopes";"Minister for Education and Industrial Relations";"Shop 3, Coorparoo Village Shopping Centre";"358 Old Cleveland Road";"COORPAROO  QLD  4151";"Minister";"ALP"
"Mr";"S L";"Dickson MP";"Member for Buderim";"Shadow Minister for Energy and Water Utilities";"PO Box 187";"BUDERIM  QLD  4556";;"Mr Dickson";"LNP"
"Dr";"A R";"Douglas MP";"Member for Gaven";;"PO Box 1140";"GAVEN   QLD   4211";" ";"Dr Douglas";"LNP"
"Mr";"P J";"Dowling MP";"Member for Redlands";"Shadow Parliamentary Secretary for Reconstruction";"PO Box 3667";"VICTORIA POINT WEST  QLD  4165";;"Mr Dowling";"LNP"
"Mr";"G W";"Elmes MP";"Member for Noosa";" ";"PO Box 1849";"NOOSAVILLE DC  QLD  4566";;"Mr Elmes";"LNP"
"Mr";"S A";"Emerson MP";"Member for Indooroopilly";"Shadow Minister for Transport, Shadow Minister for Multicultural Affairs and Shadow Minister for the Arts";"Suite 1, 49 Station Road";"INDOOROOPILLY  QLD  4068";;"Mr Emerson";"LNP"
"Ms";"D E";"Farmer MP";"Member for Bulimba";;"901 Wynnum Road";"CANNON HILL  QLD  4170";;"Ms Farmer";"ALP"
"Hon";"S D";"Finn MP";"Member for Yeerongpilly";"Minister for Government Services, Building Industry and Information and Communication Technology";"3/116 Beaudesert Road";"MOOROOKA  QLD  4105";;"Minister";"ALP"
"Dr";"B";"Flegg MP";"Member for Moggill";"Shadow Minister for Education and Shadow Minister for Aboriginal and Torres Strait Islander Partnerships";"PO Box 328";"KENMORE  QLD  4069";;"Dr Flegg";"LNP"
"Mr";"C J";"Foley MP";"Member for Maryborough";;"Shop 1, Comet Place";"133 Lennox Street";"MARYBOROUGH  QLD  4650";"Mr Foley";"IND"
"Hon";"A P";"Fraser MP";"Member for Mount Coot-tha";"Deputy Premier, Treasurer and Minister for State Development and Trade";"76 MacGregor Terrace";"BARDON  QLD  4065";;"Minister";"ALP"
"Mr";"D F";"Gibson MP";"Member for Gympie";"Shadow Minister for Local Government and Shadow Minister for Sport";"PO Box 1277";"GYMPIE  QLD  4570";;"Mr Gibson";"LNP"
"Ms";"I";"Grace MP";"Member for Brisbane Central";"Deputy Government Whip";"Unit 2, Hill House";"541 Boundary Street (Corner Bradley Street)";"SPRING HILL  QLD  4000";"Ms Grace";"ALP"
"Hon";"S J";"Hinchliffe MP";"Member for Stafford";"Minister for Employment, Skills and Mining";"PO Box 5422";"STAFFORD HEIGHTS   QLD   4053";;"Minister";"ALP"
"Mr";"H W T";"Hobbs MP";"Member for Warrego";" ";"PO Box 945";"ROMA  QLD  4455";;"Mr Hobbs";"LNP"
"Mr";"H W T";"Hobbs MP";"Member for Warrego";" ";"PO Box 503";"ST GEORGE  QLD  4487";;"Mr Hobbs";"LNP"
"Mr";"P A";"Hoolihan MP";"Member for Keppel";;"Shop 3, Evia Building";"3 Normanby Street";"YEPPOON  QLD  4703";"Mr Hoolihan";"ALP"
"Mr";"R G";"Hopper MP";"Member for Condamine";" ";"14A Cunningham Street";"DALBY  QLD  4405";;"Mr Hopper";"LNP"
"Mr";"M J";"Horan MP";"Member for Toowoomba South";" ";"PO Box 3005";"Village Fair";"TOOWOOMBA  QLD  4350";"Mr Horan";"LNP"
"Hon";"J H";"Jarratt MP";"Member for Whitsunday";"Minister for Tourism, Manufacturing and Small Business";"PO Box 1302";"PROSERPINE  QLD  4800";;"Minister";"ALP"
"Mr";"V G";"Johnson MP";"Member for Gregory";"Shadow Parliamentary Secretary for Western Queensland";"PO Box 444";"EMERALD  QLD  4720";;"Mr Johnson";"LNP"
"Mr";"V G";"Johnson MP";"Member for Gregory";"Shadow Parliamentary Secretary for Western Queensland";"PO Box 180";"LONGREACH  QLD  4730";;"Mr Johnson";"LNP"
"Ms";"M A";"Johnstone MP";"Member for Townsville";;"PO Box 1148";"TOWNSVILLE  QLD  4810";;"Ms Johnstone";"ALP"
"Ms";"K J";"Jones MP";"Member for Ashgrove";;"Ashgrove Central";"221 Waterworks Road";"ASHGROVE  QLD  4060";"Minister";"ALP"
"Hon";"M M";"Keech MP";"Member for Albert";"Government Whip";"PO Box 577";"BEENLEIGH  QLD  4207";;"Mrs Keech";"ALP"
"Mrs";"B M";"Kiernan MP";"Member for Mount Isa";"Parliamentary Secretary for Emergency Services";"27 Ramsay Street";"CLONCURRY  QLD  4824";;"Mrs Kiernan";"ALP"
"Mrs";"B M";"Kiernan MP";"Member for Mount Isa";" Parliamentary Secretary for Emergency Services";"PO Box 2332";"MOUNT ISA  QLD  4825";;"Mrs Kiernan";"ALP"
"Mr";"S";"Kilburn MP";"Member for Chatsworth";;"Unit 1, Millennium Business Centre";"Millennium Bvd";"CARINDALE  QLD  4152";"Mr Kilburn";"ALP"
"Mr";"S";"Knuth MP";"Member for Dalrymple";;"PO Box 1667";"ATHERTON   QLD   4883";" ";"Mr Knuth";"KAP"
"Mr";"S";"Knuth MP";"Member for Dalrymple";;"Stock Exchange Arcade";"2/76 Mosman Street";"CHARTERS TOWERS  QLD  4820";"Mr Knuth";"KAP"
"Mr";"J H";"Langbroek MP";"Member for Surfers Paradise";"Shadow Minister for Police, Corrective Services and Emergency Services";"PO Box 80";"ISLE OF CAPRI  QLD  4217";;"Mr Langbroek";"LNP"
"Mr";"P J";"Lawlor MP";"Member for Southport";" ";"PO Box 340";"CHIRN PARK  QLD  4215";;"Mr Lawlor";"ALP"
"Hon";"P T";"Lucas MP";"Member for Lytton";"Attorney-General, Minister for Local Government and Special Minister of State";"100 Edith Street";"WYNNUM  QLD  4178";;"Minister";"ALP"
"Ms";"C T";"Male MP";"Member for Pine Rivers";"Deputy Government Whip";"PO Box 2179";"STRATHPINE CENTRE  QLD  4500";;"Ms Male";"ALP"
"Mr";"G T";"Malone MP";"Member for Mirani";"Shadow Minister for Industrial Relations and Shadow Minister for Employment and Skills";"PO Box 56";"SARINA  QLD  4737";;"Mr Malone";"LNP"
"Mr";"M F";"McArdle MP";"Member for Caloundra";"Shadow Minister for Health";"PO Box 3998";"CALOUNDRA  QLD  4551";;"Mr McArdle";"LNP"
"Mr";"A P";"McLindon MP";"Member for Beaudesert";;"PO Box 95";"JIMBOOMBA  QLD  4280";;"Mr McLindon";"KAP"
"Mrs";"R N";"Menkens";"Member for Burdekin";"Manager of Opposition Business Shadow Parliamentary Secretary for Northern Queensland";"Shop 30, Centrepoint Arcade";"Queen Street";"AYR  QLD  4807";"Mrs Menkens";"LNP"
"Mr";"R D";"Messenger MP";"Member for Burnett";;"PO Box 8371";"BARGARA  QLD  4670";;"Mr Messenger";"IND"
"Hon";"R J";"Mickel MP";"Member for Logan";"Speaker, Queensland Parliament";"Maxima House";"1-3 Helen Street";"HILLCREST  QLD  4118";"Mr Mickel";"ALP"
"Mrs";"J R";"Miller MP";"Member for Bundamba";;"PO Box 122";"GOODNA  QLD  4300";" ";"Mrs Miller";"ALP"
"Mr";"E R";"Moorhead MP";"Member for Waterford";;"PO Box 273";"WATERFORD  QLD  4133";" ";"Mr Moorhead";"ALP"
"Hon";"T S";"Mulherin MP";"Member for Mackay";"Minister for Agriculture, Food and Regional Economies";"PO Box 1238";"MACKAY   QLD   4740";" ";"Minister";"ALP"
"Ms";"L H";"Nelson-Carr MP";"Member for Mundingburra";;"PO Box 1353";"AITKENVALE DC  QLD  4814";;"Ms Nelson-Carr";"ALP"
"Mr";"T J";"Nicholls MP";"Member for Clayfield";"Deputy Leader of the Opposition Shadow Minister for Finance and Shadow Minister for Trade";"PO Box 281";"CLAYFIELD  QLD  4011";;"Mr Nicholls";"LNP"
"Hon";"R G";"Nolan MP";"Member for Ipswich";"Minister for Finance, Natural Resources and The Arts";"PO Box 98";"BOOVAL  QLD  4304";;"Minister";"ALP"
"Mr";"J D";"O'Brien MP";"Member for Cook";;"PO Box 2080";"CAIRNS  QLD  4870";;"Mr O'Brien";"ALP"
"Mr";"J D";"O'Brien MP";"Member for Cook";;"PO Box 437";"THURSDAY ISLAND  QLD  4875";;"Mr O'Brien";"ALP"
