"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Mr";"Eric";"Abetz";"Leader of the Opposition in the Senate";"senator.abetz@aph.gov.au";;"Tas";"LP";;"http://abetz.com.au/";"SenatorAbetz";1;0;"Highbury House";"136 Davey Street";"Hobart";"Tas";7000;"(03) 6224 3707";"1300 132 493";"(03) 6224 3709";1;1;"GPO Box 1675";"Hobart";"Tas";7001;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"Chris";"Back";;"senator.back@aph.gov.au";;"WA";"LP";;;;1;0;"89 Aberdeen Street";;"Northbridge";"WA";6003;"(08)9328 36880";"1300 301 846";"(08)9328 3900";1;1;"PO Box 143";"Northbridge";"WA";6865;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"Cory";"Bernardi";;"senator.bernardi@aph.gov.au";;"SA";"LP";;"http://www.senatorbernardi.com/";;1;0;"36 Grenfell Street";;"Kent Town ";"SA";5067;"(08) 8362 8600";"1300 301 647";"(08) 8362 8579 ";;;;;;;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Ms";"Catryna";"Bilyk";;"senator.bilyk@aph.gov.au";;"Tas";"ALP";;;;1;0;"Shop 3, Kingston Plaza";"20 Channel Highway";"Kingston";"Tas";7050;"(03) 6229 4444";"1300 855 225";"(03) 6229 4100";1;1;"PO Box 320";"Kingston";"Tas";7051;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"Simon";"Birmingham";;"senator.birmingham@aph.gov.au";;"SA";"LP";;"http://www.senatorbirmingham.com.au/";;1;0;"61 Henley Beach Road";;"Mile End";"SA";5031;"(08) 8354 1644";"1300 301 638";"(08) 8354 1655";;;;;;;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"Mark";"Bishop";;"senator.bishop@aph.gov.au";;"WA";"ALP";;;;1;0;"Suite 31";"443 Albany Highway";"Victoria Park";"WA";6100;"(08) 9472 6177";"1300 301 726";"(08) 9472 6200";1;1;"PO Box 571";"Victoria Park";"WA";6979;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"Ronald";"Boswell";;"senator.boswell@aph.gov.au";;"Qld";"Nats";;"http://www.ronboswell.com/";;1;0;"Level 36, Waterfront Place";"1 Eagle Street";"Brisbane";"Qld";4000;"(07) 3001 8150";" ";"(07) 3001 8151";1;1;"GPO Box 228";"Brisbane";"Qld";4001;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Ms";"Sue";"Boyce";;"senator.boyce@aph.gov.au";;"Qld";"LP";;"http://www.sueboyce.com.au/";;1;0;"349 Sandgate Road";;"Albion";"Qld";4010;"(07) 3862 4044";;"(07) 3862 4244";1;1;"PO Box 143";"Albion DC";"Qld";4010;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Mr";"George";"Brandis";"Deputy Leader of the Opposition in the Senate";"senator.brandis@aph.gov.au";;"Qld";"LP";;;;1;0;"Suite 2, Level 36, Waterfront Place";"1 Eagle Street";"Brisbane";"Qld";4000;"(07) 3001 8180";" ";"(07) 3001 8181";1;1;"GPO Box 228";"Brisbane";"Qld";4001;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
;"Ms";"Carol";"Brown";"Deputy Government Whip in the Senate";"senator.carol.brown@aph.gov.au";;"Tas";"ALP";;"http://carolbrown.alp.org.au/";;1;0;"AMP Building, Ground Floor,";"27 Elizabeth Street,";"Hobart";"Tas";7001;"(03) 6231 0099";"1300 301 532";"(03) 6231 3099";1;1;"GPO Box 376";"Hobart";"Tas";7001;;;;;3;0;"Parliament House";;"Canberra";"ACT";2600;;;
