"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;;;"Dawkins";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Lucas";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Zollo";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Sneath";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Stephens";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Ridgway";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Gago";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Gazzola";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Lensink";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Hunter";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Wortley";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Hood";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Bressington";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Parnell";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Wade";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Finnigan";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Darley";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Brokenshire";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Lee";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Franks";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Vincent";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
;;;"Kandelaars";;;;;;;;;;;"Parliament House";;"Adelaide";"SA";5000;;;;;;;;;;;;;;;;;;;;;;;
